type,symbol,direction,gold_central,model_central,p,cliffs_delta,delta_mag
convention,line-too-long,introduced,0.0,1.0,0.6931169441546265,0.07195032870708547,N
convention,line-too-long,removed,0.0,0.0,0.15746621030678798,-0.05423666910153396,N
convention,line-too-long,net impact,0.0,1.0,0.34532224263522593,0.09075967859751644,N
convention,invalid-name,introduced,1.0,1.0,0.4518798647221982,-0.08472222222222223,N
convention,invalid-name,removed,0.0,0.0,0.007868546475630888,-0.23416666666666666,S
convention,invalid-name,net impact,0.5,0.0,0.5444936950868108,0.05305555555555556,N
convention,trailing-whitespace,introduced,0.0,7.0,5.985967049560855e-17,0.9843820733363513,L
convention,trailing-whitespace,removed,0.0,0.0,1.0,0.0,N
convention,trailing-whitespace,net impact,0.0,7.0,5.985967049560855e-17,0.9843820733363513,L
convention,consider-using-f-string,introduced,1.0,1.0,0.8329018104537761,-0.03209876543209877,N
convention,consider-using-f-string,removed,0.0,0.0,0.001931982590596308,-0.23901234567901233,S
convention,consider-using-f-string,net impact,0.0,1.0,0.03364670883392199,0.11753086419753087,N
convention,too-many-lines,introduced,0.0,0.0,0.17971249487899976,0.06382978723404255,N
convention,too-many-lines,removed,0.0,0.0,1.0,0.0,N
convention,too-many-lines,net impact,0.0,0.0,0.0832645166635504,0.06292440018107741,N
convention,missing-function-docstring,introduced,1.0,0.0,4.507209181971248e-06,-0.6479591836734694,L
convention,missing-function-docstring,removed,0.0,0.0,0.808774912564334,-0.02891156462585034,N
convention,missing-function-docstring,net impact,1.0,0.0,0.0003709509763981236,-0.5204081632653061,L
convention,wrong-import-order,introduced,1.0,0.0,0.12436687936260862,-0.32421875,S
convention,wrong-import-order,removed,0.0,0.0,0.08372134627069523,-0.1953125,S
convention,wrong-import-order,net impact,0.5,0.0,0.832078320980471,-0.1640625,S
convention,missing-class-docstring,introduced,1.0,0.0,0.002073577075330769,-0.57,L
convention,missing-class-docstring,removed,0.0,0.0,1.0,-0.075,N
convention,missing-class-docstring,net impact,1.0,0.0,0.00418626272557676,-0.4325,M
convention,import-outside-toplevel,introduced,0.0,1.0,0.016580314276650476,0.4322916666666667,M
convention,import-outside-toplevel,removed,0.0,0.0,0.15729920705028502,-0.08333333333333333,N
convention,import-outside-toplevel,net impact,0.0,1.0,0.011712011386328084,0.453125,M
convention,wrong-import-position,introduced,1.0,1.0,0.4142161782425252,-0.10666666666666667,N
convention,wrong-import-position,removed,0.0,0.0,0.31731050786291415,0.06222222222222222,N
convention,wrong-import-position,net impact,1.0,0.0,0.25683925795785656,-0.14222222222222222,N
convention,missing-module-docstring,introduced,,,,,N
convention,missing-module-docstring,removed,,,,,N
convention,missing-module-docstring,net impact,,,,,N
convention,trailing-newlines,introduced,,,,,N
convention,trailing-newlines,removed,,,,,N
convention,trailing-newlines,net impact,,,,,N
convention,ungrouped-imports,introduced,,,,,N
convention,ungrouped-imports,removed,,,,,N
convention,ungrouped-imports,net impact,,,,,N
convention,use-implicit-booleaness-not-len,introduced,,,,,N
