type,symbol,direction,gold_central,model_central,p,cliffs_delta,delta_mag
convention,line-too-long,introduced,0.0,1.0,0.2941191891271211,0.16802221781392582,S
convention,line-too-long,removed,0.0,0.0,0.7179768048123181,-0.027177147391390596,N
convention,line-too-long,net impact,0.0,1.0,0.32980713997379585,0.16405475104146003,S
convention,invalid-name,introduced,2.0,1.0,0.07405432684181563,-0.20572916666666666,S
convention,invalid-name,removed,0.0,0.0,0.07979077099546802,-0.21614583333333334,S
convention,invalid-name,net impact,1.0,0.0,0.88021342392521,-0.014756944444444444,N
convention,trailing-whitespace,introduced,0.0,4.0,3.347159921075918e-10,0.9294444444444444,L
convention,trailing-whitespace,removed,0.0,0.0,1.0,0.0,N
convention,trailing-whitespace,net impact,0.0,4.0,3.347159921075918e-10,0.9294444444444444,L
convention,consider-using-f-string,introduced,1.0,1.0,0.613434581001264,-0.07747933884297521,N
convention,consider-using-f-string,removed,0.0,0.0,0.03700194584337407,-0.19266528925619836,S
convention,consider-using-f-string,net impact,0.5,1.0,0.316015059057114,0.09400826446280992,N
convention,too-many-lines,introduced,0.0,0.0,0.6547208460185769,0.02702702702702703,N
convention,too-many-lines,removed,0.0,0.0,1.0,0.0,N
convention,too-many-lines,net impact,0.0,0.0,0.5637028616507731,0.026296566837107377,N
convention,missing-function-docstring,introduced,1.0,0.0,1.2459531099071533e-05,-0.6362308254200146,L
convention,missing-function-docstring,removed,0.0,0.0,0.884006429129465,-0.019722425127830533,N
convention,missing-function-docstring,net impact,1.0,0.0,0.0006451401540080856,-0.5047479912344777,L
convention,wrong-import-order,introduced,1.0,0.0,0.28847912143412524,-0.21333333333333335,S
convention,wrong-import-order,removed,0.0,0.0,0.15754592766626296,-0.14222222222222222,N
convention,wrong-import-order,net impact,1.0,0.0,0.9291527647091152,-0.1288888888888889,N
convention,missing-class-docstring,introduced,2.0,0.0,0.001953125,-0.7751479289940828,L
convention,missing-class-docstring,removed,0.0,0.0,0.5,-0.15384615384615385,S
convention,missing-class-docstring,net impact,2.0,0.0,0.01220703125,-0.5857988165680473,L
convention,import-outside-toplevel,introduced,1.0,0.0,0.650390625,-0.16568047337278108,S
convention,import-outside-toplevel,removed,0.0,0.0,1.0,-0.07692307692307693,N
convention,import-outside-toplevel,net impact,1.0,0.0,0.84228515625,-0.11834319526627218,N
convention,wrong-import-position,introduced,1.0,1.0,0.375,-0.14201183431952663,N
convention,wrong-import-position,removed,0.0,0.0,1.0,-0.07100591715976332,N
convention,wrong-import-position,net impact,1.0,0.0,0.6875,-0.11834319526627218,N
convention,missing-module-docstring,introduced,,,,,N
convention,missing-module-docstring,removed,,,,,N
convention,missing-module-docstring,net impact,,,,,N
convention,ungrouped-imports,introduced,,,,,N
convention,ungrouped-imports,removed,,,,,N
convention,ungrouped-imports,net impact,,,,,N
convention,use-implicit-booleaness-not-len,introduced,,,,,N
convention,use-implicit-booleaness-not-len,removed,,,,,N
convention,use-implicit-booleaness-not-len,net impact,,,,,N
convention,unidiomatic-typecheck,introduced,,,,,N
convention,unidiomatic-typecheck,removed,,,,,N
convention,unidiomatic-typecheck,net impact,,,,,N
convention,consider-using-enumerate,introduced,,,,,N
convention,consider-using-enumerate,removed,,,,,N
convention,consider-using-enumerate,net impact,,,,,N
convention,superfluous-parens,introduced,,,,,N
convention,superfluous-parens,removed,,,,,N
convention,superfluous-parens,net impact,,,,,N
error,import-error,introduced,1.0,0.0,1.0,-0.09,N
error,import-error,removed,0.0,0.0,0.25,-0.3,S
error,import-error,net impact,1.0,0.0,0.3984375,0.09,N
error,no-member,introduced,,,,,N
error,no-member,removed,,,,,N
error,no-member,net impact,,,,,N
error,no-name-in-module,introduced,,,,,N
error,no-name-in-module,removed,,,,,N
error,no-name-in-module,net impact,,,,,N
error,access-member-before-definition,introduced,,,,,N
error,access-member-before-definition,removed,,,,,N
error,access-member-before-definition,net impact,,,,,N
error,function-redefined,introduced,,,,,N
error,function-redefined,removed,,,,,N
error,function-redefined,net impact,,,,,N
error,unexpected-keyword-arg,introduced,,,,,N
error,unexpected-keyword-arg,removed,,,,,N
error,unexpected-keyword-arg,net impact,,,,,N
error,misplaced-bare-raise,introduced,,,,,N
