type,symbol,direction,gold_central,model_central,p,cliffs_delta,delta_mag
convention,line-too-long,introduced,0.0,1.0,0.0240736442659322,0.27384615384615385,S
convention,line-too-long,removed,0.0,0.0,0.32120356879444767,-0.02911242603550296,N
convention,line-too-long,net impact,0.0,1.0,0.022835950820304315,0.2641420118343195,S
convention,invalid-name,introduced,1.0,0.0,0.12566634041993088,-0.21598639455782312,S
convention,invalid-name,removed,0.0,0.0,0.028877950303702254,-0.23129251700680273,S
convention,invalid-name,net impact,0.5,0.0,0.9142031038452748,-0.01927437641723356,N
convention,trailing-whitespace,introduced,0.0,6.0,3.7329817442507934e-15,0.9827260850631442,L
convention,trailing-whitespace,removed,0.0,0.0,1.0,0.0,N
convention,trailing-whitespace,net impact,0.0,6.0,3.7329817442507934e-15,0.9827260850631442,L
convention,consider-using-f-string,introduced,1.0,0.0,0.0398733848927546,-0.29336734693877553,S
convention,consider-using-f-string,removed,0.5,0.0,0.0006030286994298045,-0.3864795918367347,M
convention,consider-using-f-string,net impact,0.0,0.0,0.9073939711335438,0.0548469387755102,N
convention,too-many-lines,introduced,0.0,0.0,0.10247043485974937,0.11428571428571428,N
convention,too-many-lines,removed,0.0,0.0,0.4142161782425252,0.05714285714285714,N
convention,too-many-lines,net impact,0.0,0.0,0.15729920705028516,0.0563265306122449,N
convention,missing-function-docstring,introduced,1.0,0.0,0.00016491521478643965,-0.6566077003121749,L
convention,missing-function-docstring,removed,0.0,0.0,0.15227076049634963,-0.14151925078043703,N
convention,missing-function-docstring,net impact,1.0,0.0,0.019664729677335607,-0.4620187304890739,M
convention,wrong-import-order,introduced,0.0,0.0,0.7880786211361486,0.017777777777777778,N
convention,wrong-import-order,removed,0.0,0.0,0.15754592766626296,-0.14222222222222222,N
convention,wrong-import-order,net impact,0.0,0.0,0.3518719336929157,0.13777777777777778,N
convention,missing-class-docstring,introduced,1.0,0.0,0.011276421085526567,-0.5866666666666667,L
convention,missing-class-docstring,removed,0.0,0.0,0.0832645166635504,0.14222222222222222,N
convention,missing-class-docstring,net impact,1.0,0.0,0.005006924130780039,-0.5688888888888889,L
convention,import-outside-toplevel,introduced,1.0,1.0,0.38671875,0.1301775147928994,N
convention,import-outside-toplevel,removed,0.0,0.0,1.0,0.0,N
convention,import-outside-toplevel,net impact,1.0,1.0,0.38671875,0.1301775147928994,N
convention,wrong-import-position,introduced,1.0,1.0,1.0,0.08,N
convention,wrong-import-position,removed,0.0,0.0,1.0,-0.09,N
convention,wrong-import-position,net impact,0.5,1.0,0.625,0.13,N
convention,missing-module-docstring,introduced,,,,,N
convention,missing-module-docstring,removed,,,,,N
convention,missing-module-docstring,net impact,,,,,N
convention,ungrouped-imports,introduced,,,,,N
convention,ungrouped-imports,removed,,,,,N
convention,ungrouped-imports,net impact,,,,,N
convention,use-implicit-booleaness-not-len,introduced,,,,,N
convention,use-implicit-booleaness-not-len,removed,,,,,N
convention,use-implicit-booleaness-not-len,net impact,,,,,N
convention,unidiomatic-typecheck,introduced,,,,,N
convention,unidiomatic-typecheck,removed,,,,,N
convention,unidiomatic-typecheck,net impact,,,,,N
convention,consider-using-enumerate,introduced,,,,,N
convention,consider-using-enumerate,removed,,,,,N
convention,consider-using-enumerate,net impact,,,,,N
convention,missing-final-newline,introduced,,,,,N
convention,missing-final-newline,removed,,,,,N
convention,missing-final-newline,net impact,,,,,N
convention,unexpected-line-ending-format,introduced,,,,,N
convention,unexpected-line-ending-format,removed,,,,,N
convention,unexpected-line-ending-format,net impact,,,,,N
error,import-error,introduced,,,,,N
error,import-error,removed,,,,,N
error,import-error,net impact,,,,,N
error,no-member,introduced,,,,,N
error,no-member,removed,,,,,N
error,no-member,net impact,,,,,N
error,no-name-in-module,introduced,,,,,N
error,no-name-in-module,removed,,,,,N
error,no-name-in-module,net impact,,,,,N
error,access-member-before-definition,introduced,,,,,N
error,access-member-before-definition,removed,,,,,N
error,access-member-before-definition,net impact,,,,,N
error,function-redefined,introduced,,,,,N
error,function-redefined,removed,,,,,N
error,function-redefined,net impact,,,,,N
error,unexpected-keyword-arg,introduced,,,,,N
error,unexpected-keyword-arg,removed,,,,,N
error,unexpected-keyword-arg,net impact,,,,,N
error,misplaced-bare-raise,introduced,,,,,N
error,misplaced-bare-raise,removed,,,,,N
error,misplaced-bare-raise,net impact,,,,,N
error,invalid-sequence-index,introduced,,,,,N
error,invalid-sequence-index,removed,,,,,N
error,invalid-sequence-index,net impact,,,,,N
fatal,fatal,introduced,,,,,N
fatal,fatal,removed,,,,,N
fatal,fatal,net impact,,,,,N
refactor,too-many-branches,introduced,0.0,0.0,0.25683925795785656,0.125,N
refactor,too-many-branches,removed,0.0,0.0,0.0832645166635504,-0.125,N
refactor,too-many-branches,net impact,0.0,0.0,0.03389485352468927,0.21180555555555555,S
refactor,too-many-locals,introduced,0.0,0.0,1.0,0.0,N
refactor,too-many-locals,removed,0.0,0.0,0.0832645166635504,-0.09504132231404959,N
refactor,too-many-locals,net impact,0.0,0.0,0.4457659079148423,0.07024793388429752,N
refactor,too-many-statements,introduced,0.0,0.0,0.5637028616507731,0.05263157894736842,N
refactor,too-many-statements,removed,0.0,0.0,0.31731050786291415,-0.05263157894736842,N
refactor,too-many-statements,net impact,0.0,0.0,0.31731050786291415,0.09695290858725762,N
refactor,no-else-return,introduced,1.0,1.0,0.25579716936340546,0.2290249433106576,S
refactor,no-else-return,removed,0.0,0.0,0.014591428649683824,-0.2766439909297052,S
refactor,no-else-return,net impact,0.0,1.0,0.02628979134098363,0.42857142857142855,M
refactor,no-self-use,introduced,0.0,0.0,1.0,-0.08284023668639054,N
refactor,no-self-use,removed,1.0,0.0,0.0625,-0.39644970414201186,M
refactor,no-self-use,net impact,0.0,0.0,0.2021484375,0.21301775147928995,S
refactor,duplicate-code,introduced,0.0,0.0,0.5,-0.03305785123966942,N
refactor,duplicate-code,removed,0.0,0.0,0.5,0.18181818181818182,S
refactor,duplicate-code,net impact,0.0,0.0,0.25,-0.18181818181818182,S
refactor,too-many-arguments,introduced,0.5,0.5,1.0,-0.05,N
refactor,too-many-arguments,removed,0.0,0.0,0.5,-0.2,S
refactor,too-many-arguments,net impact,0.0,0.0,1.0,0.07,N
refactor,inconsistent-return-statements,introduced,,,,,N
refactor,inconsistent-return-statements,removed,,,,,N
refactor,inconsistent-return-statements,net impact,,,,,N
refactor,too-many-return-statements,introduced,,,,,N
refactor,too-many-return-statements,removed,,,,,N
refactor,too-many-return-statements,net impact,,,,,N
refactor,too-many-instance-attributes,introduced,,,,,N
refactor,too-many-instance-attributes,removed,,,,,N
refactor,too-many-instance-attributes,net impact,,,,,N
warning,redefined-outer-name,introduced,0.0,0.0,0.5936332729902281,-0.07118055555555555,N
warning,redefined-outer-name,removed,0.0,0.0,0.31731050786291415,-0.041666666666666664,N
warning,redefined-outer-name,net impact,0.0,0.0,0.8371138463601868,-0.03819444444444445,N
warning,unused-import,introduced,0.0,1.0,0.004993469552596612,0.4375,M
warning,unused-import,removed,0.0,0.0,0.025553416896251027,-0.14923469387755103,S
warning,unused-import,net impact,0.0,1.0,0.0009552350293938516,0.5178571428571429,L
warning,fixme,introduced,0.0,0.0,0.04601919468541638,-0.2857142857142857,S
warning,fixme,removed,1.0,0.0,0.008842644899180404,-0.4846938775510204,L
warning,fixme,net impact,-1.0,0.0,0.34891132143084913,0.2602040816326531,S
warning,broad-except,introduced,,,,,N
warning,broad-except,removed,,,,,N
warning,broad-except,net impact,,,,,N
warning,protected-access,introduced,0.0,0.0,0.25,0.07,N
warning,protected-access,removed,2.0,0.0,0.25,-0.37,M
warning,protected-access,net impact,-1.5,0.0,0.05078125,0.32,S
warning,unused-variable,introduced,,,,,N
warning,unused-variable,removed,,,,,N
warning,unused-variable,net impact,,,,,N
warning,raise-missing-from,introduced,,,,,N
warning,raise-missing-from,removed,,,,,N
warning,raise-missing-from,net impact,,,,,N
warning,unused-argument,introduced,,,,,N
warning,unused-argument,removed,,,,,N
warning,unused-argument,net impact,,,,,N
warning,logging-fstring-interpolation,introduced,,,,,N
warning,logging-fstring-interpolation,removed,,,,,N
warning,logging-fstring-interpolation,net impact,,,,,N
warning,reimported,introduced,,,,,N
warning,reimported,removed,,,,,N
warning,reimported,net impact,,,,,N
