model,label,instance,n_gold_files,first_file,second_file,category
claude-45haiku-10222025,Haiku,instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,3,changelogs/fragments/81659_varswithsources.yml,lib/ansible/utils/vars.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,2,lib/ansible/plugins/lookup/password.py,lib/ansible/utils/encrypt.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,3,changelogs/fragments/feature-uri-add-option-multipart-encoding.yml,lib/ansible/module_utils/urls.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,3,changelogs/fragments/75072_undefined_yaml.yml,lib/ansible/parsing/yaml/dumper.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,3,changelogs/fragments/73814-host_label.yaml,lib/ansible/plugins/callback/__init__.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83-v906c969b551b346ef54a2c0b41e04f632b7b73c2,2,lib/ansible/module_utils/net_tools/nios/api.py,lib/ansible/modules/net_tools/nios/nios_fixed_address.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,2,changelogs/fragments/psrp-extras.yml,lib/ansible/plugins/connection/psrp.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,6,changelogs/fragments/69848-fix-rerunning-tagged-roles.yml,lib/ansible/executor/play_iterator.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,3,changelogs/fragments/74005-keyed_groups-specific-options-for-empty-value.yml,lib/ansible/plugins/doc_fragments/constructed.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-379058e10f3dbc0fdcaf80394bd09b18927e7d33-v1055803c3a812189a1133297f7f5468579283f86,11,changelogs/fragments/update-collections-abc-imports.yml,lib/ansible/module_utils/basic.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a-v7eee2454f617569fd6889f2211f75bc02a35f9f8,4,changelogs/fragments/74511-PlayIterator-states-enums.yml,lib/ansible/executor/play_iterator.py,source
claude-45haiku-10222025,Haiku,instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59,7,changelogs/fragments/81995-enable_file_cache.yml,lib/ansible/parsing/dataloader.py,source
